film,year,genre
Fight Club,1999,"Криминал, драма"
Pulp Fiction,1994,"Криминал, драма"
American Psycho,2000,"Криминал, драма"
The Wolf of Wall Street,2013,"Биографический, драма, криминал"
Blade Runner,1982,"Научная фантастика, детектив"
Blade Runner 2049,2017,"Научная фантастика, детектив"
A Clockwork Orange,1971,"Научная фантастика, драма"
Fear and Loathing in Las Vegas,1998,"Драма, приключения"
The Godfather,1972,"Криминал, драма"
Taxi Driver,1976,"Криминал, драма"
Scarface,1983,"Криминал, драма"
Brother,1997,"Криминал, драма"
Brother 2,2000,"Криминал, драма"
Nightcrawler,2013,"Криминал, триллер"
Memento,2000,"Триллер, детектив"
Papillon,2017,"Биографический, драма"
Snatch,2000,"Криминал, комедия"
The Irishman,2019,"Биографический, драма, криминал"
Inception,2010,"Научная фантастика, триллер"
Leon: The Professional,1994,"Драма, боевик"
Se7en,1995,"Детектив, триллер"
Joker,2019,"Драма, триллер"
The Matrix,1999,"Научная фантастика, боевик"
Split,2016,"Триллер, ужасы"
Goodfellas,1990,"Криминал, драма"
The Silence of the Lambs,1991,"Триллер, детектив"
1917,2019,"Военный, драма"
Uncut Gems,2019,Триллер
Interstellar,2014,"Научная фантастика, драма"
Reservoir Dogs,1992,"Криминал, триллер"
From Dusk Till Dawn,1996,"Криминал, боевик, ужасы"
The Gentlemen,2019,"Криминал, комедия"
12 Angry Men,1957,Драма
Rick and Morty,2013,"Мультфильм, комедия, научная фантастика"
The Grand Budapest Hotel,2014,"Комедия, драма"
The Intouchables,2011,"Драма, комедия"
Blind Man's Bluff,2005,"Военный, триллер"
Good Time,2017,"Криминал, триллер"
The Boys,2019,"Драма, супергерой"
Trainspotting,1995,"Драма, комедия"
Shawshank Redemption,1994,Драма
The Shining,1980,"Ужасы, мистика"
Forrest Gump,1994,"Драма, комедия"
Filth,2013,"Комедия, драма"
"Lock, Stock and Two Smoking Barrels",1998,"Криминал, комедия"
No Country for Old Men,2007,"Триллер, вестерн"
Once Upon a Time in Hollywood,2019,"Драма, вестерн"
The girl with the dragon tattoo,2011,"Триллер, драма"
The Big Lebowski,1998,Комедия
Knives Out,2019,"Триллер, детектив"
The Fifth Element,1997,"Научная фантастика, боевик, комедия"
The Game,1997,Триллер
Catch Me If You Can,2002,"Биографический, криминал, комеди"
Allied,2016,"Триллер, война"
Legend,2015,"Криминал, драма, триллер"
Kill Bill,2003-2004,"Боевик, криминал, триллер"
The Maze Runner,2014-2018,"Приключения, антиутопия, научная фантастика"
Apocalypto,2006,"Боевик, приключения, драма"
True detective,2014,"Криминал, драма, детектив"
A Beautiful Mind,2001,"Биография, драма, детектив"
The Truman Show,1998,"Комедия, драма, научная фантастика"
The Place Beyond the Pines,2012,"Криминал, драма, триллер"
Stand by Me,1986,"Подростковое кино, драма, приключения"
Alien,1979,"Ужасы, научная фантастика"
In Bruges,2008,"Комедия, криминал, драма"
Groundhog Day,1993,"Комедия, фэнтези, мелодрама"
The Lord of the Rings: The Return of the King,2003,"Приключения, драма, фэнтези"
Harry Potter (1-7),2001-2011 ,"Приключения, семейный, фэнтези"
"The Good, the Bad and the Ugly",1966,Вестерн
Locke,2013,"Драма, детектив, триллер"
The Prestige,2006,"Драма, детектив, научная фантастика"
Wasabi,2001,"Боевик, комедия, криминал"
Drive,2011,"Криминал, драма, триллер"
Berserk,1997-1998,"Боевик, приключения, тёмное фэнтези"
Four Rooms,1995,"Чёрная комедия, криминал, драма"
American Beauty,1999,"Чёрная комедия, драма"
Don't Look Up,2021,"Чёрная комедия, научная фантастика, сатира"
Gladiator,2000,"Боевик, приключения, драма"
The next three days,2010,"Криминал, драма, детектив"
The Lobster,2015,"Чёрная комедия, драма, романтика"
The LEGO Movie,2014,"Боевик, приключения, анимация"
The Hangover,2009,Комедия
Lord of War,2005,"Криминал, драма, война"
Donnie Darko,2001,"Психологический триллер, научная фантастика"
Spirited Away,2001,"Аниме, драма, фэнтези"
Interstate 60,2002,"Приключения, комедия, драма"
Dead Poets Society,1989,"Подростковое кино, драма"
The Hitchhiker's Guide to the Galaxy,2005,"Приключения, комедия, научная фантастика"
12 Monkeys,1995,"Антиутопия, научная фантастика, триллер"
The Departed,2006,"Криминал, драма, триллер"
One Flew Over the Cuckoo's Nest,1975,Драма
Bone Tomahawk,2015,"Ужасы, вестерн"
Whiplash,2014,"Драма, музыка"
Parasite,2019,"Чёрная комедия, драма"
Bullet Train,2022,"Боевик, комедия, триллер"
In Time ,2011,"Боевик, антиутопия, фантастика"
The Grand Budapest Hotel ,2014,"Приключения, комедия, криминал"
Knockin' on Heaven's Door,1997,"Криминал, драма"
Back to the Future (1-3),1985-1990,"Комедия, фантастика"
The Village ,2004,"Драма, детектив"
Barbie ,2023,"Комедия, драма"
Oppenheimer,2023,"Биография, драма"
